owner_key,legacy_uuid,title,topic,url,downloadable,expected_bytes,reference_status
c_001272,c_l219:7d73e740-ce36-4e60-a401-1f75dad94f4f,Ospedali,society,http://geoportale.comune.torino.it/geodati/zip/ospedali_csv.zip,true,4353,ok
p_bi,p_bi:d9bb3509-5f83-4691-953a-b2522bc847aa,Provincia di Biella - PTPv1 - Rete autostradale,utilitiesCommunication,https://www.provincia.biella.it/repertorio/consultazione/at8-strumenti-di-pianificazione/igt-u-carta-degli-indirizzi-di-governo-del,false,0,err
p_bi,p_bi:d9bb3509-5f83-4691-953a-b2522bc847aa,Provincia di Biella - PTPv1 - Rete autostradale,utilitiesCommunication,https://www.provincia.biella.it/repertorio/consultazione/at8-strumenti-di-pianificazione/igt-f-politiche-territoriali-della,false,0,err
p_bi,p_bi:d9bb3509-5f83-4691-953a-b2522bc847aa,Provincia di Biella - PTPv1 - Rete autostradale,utilitiesCommunication,https://www.provincia.biella.it/repertorio/consultazione/at8-strumenti-di-pianificazione/igt-politiche-lassetto-del-sistema,false,0,err
r_piemon,r_piemon:0d98f073-2cf8-4ccb-9427-24c4d641c48f,Ambiti amministrativi - Comuni - 2013 Storico,boundaries,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/Limiti_amministrativi/Ambiti_amministrativi_comuni_serie_storica/AMBITI_AMMINISTRATIVI_COMUNI_2013.zip,true,9732393,ok
c_001272,c_l219:79c69ed4-75fc-4ba6-ad93-6608a4f6db64,"Uffici INPS, INAIL, CAAF",society,http://geoportale.comune.torino.it/geodati/zip/uffici_inps_inail_caaf_geo.zip,true,30809,ok
c_001272,c_l219:79c69ed4-75fc-4ba6-ad93-6608a4f6db64,"Uffici INPS, INAIL, CAAF",society,http://geoportale.comune.torino.it/geodati/zip/uffici_inps_inail_caaf_csv.zip,true,14075,ok
p_bi,p_bi:abcba816-94ee-4e27-8bb7-9ccc15ee5b4e,Provincia di Biella - PTPv1 - Vincoli DL42/04 art.136,planningCadastre,https://www.provincia.biella.it/repertorio/consultazione/at8-strumenti-di-pianificazione/ctp-pae-sensibilita-paesistiche-e,false,0,err
p_bi,p_bi:abcba816-94ee-4e27-8bb7-9ccc15ee5b4e,Provincia di Biella - PTPv1 - Vincoli DL42/04 art.136,planningCadastre,https://www.provincia.biella.it/repertorio/consultazione/at8-strumenti-di-pianificazione/igt-f-politiche-territoriali-della,false,0,err
r_piemon,r_piemon:35beb074-2022-4df8-8728-ff292ee2e20c,Ppr - Aree di elevato interesse agronomico (tav. P4),planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/aree_elevato_interesse_agronomico.zip,true,11001462,ok
r_piemon,r_piemon:9e94a878-a489-411e-b7ca-c3ab6bd5c310,MANIFESTAZIONI FIERISTICHE,location,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/Commercio/Manifestazioni_fieristiche.zip,true,92252,ok
r_piemon,r_piemon:4f3fd75e-a2cd-42c1-b0c3-b659228cb645,Catasto sbarramenti - DINV,geoscientificInformation,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/DINV/scaricoShapefile_citt.zip,true,78820,ok
r_piemon,r_piemon:909d453f-14a0-4980-ac59-01a4c39413e3,Comuni individuati e riconosciuti come turistici ai sensi della L.R. 14/2016,boundaries,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/Comuni_Turistici/comuni_riconosciuti_come_turistici.zip,true,4955416,ok
p_to,cmto:1a2add08-590c-4a73-b56c-2f0e6daa7e4d,Aziende AIA (Autorizzazione Integrata Ambientale) - puntuale,environment,https://eds.cittametropolitana.torino.it/geoportale/SHP_INT_IPPC.php,true,92680,ok
r_piemon,r_piemon:3eb83cc3-3368-435c-8ef6-1362d5205975,Carta d'uso di interesse apistico - ACA 18,farming,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/AGRICOLTURA/Apiari/uso_interesse_apistico.zip,true,126996575,ok
r_piemon,r_piemon:67c4e2df-301a-4f3f-b300-66591235fe1d,Ppr - Percorsi panoramici (tav. P4),planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/percorsi_panoramici_upp.zip,true,1062458,ok
p_bi,p_bi:1cb76559-f05c-4d44-a44d-86ebe9c7fd9d,Provincia di Biella - BDG Zone ampliamento accumulo passaggio,geoscientificInformation,https://www.provincia.biella.it/repertorio/consultazione/at8-strumenti-di-pianificazione/igt-s-carta-degli-indirizzi-di-governo-del,false,0,err
r_piemon,r_piemon:871c2eae-c7be-4061-8574-fed48ba8a63c,Ppr - Fulcri naturali (tav. P4),planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/fulcri_naturali_areali_upp.zip,true,303576,ok
r_piemon,r_piemon:94f01200-c2fa-4566-a594-1b231955612d,Priorità di intervento a livello comunale per piano regionale antincendi boschivi 2021-25,planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/IncendiBoschivi/priorita_comuni_AIB.zip,true,9358129,ok
p_to,cmto:e4daa4b7-8a3a-401e-a8ee-4201409162a3,PTC 2 - Strutture commerciali,economy,https://www.cittametropolitana.torino.it/sites/default/files/pagina/risorse/territorio/dwd/pianificazione-territoriale/ptc2/shape_tavole/tav22/strutture_commerciali.zip,true,25673,ok
r_piemon,r_piemon:7573bb81-0c2c-46d9-b3f6-609d4e64e34e,Uso del suolo agricolo su mosaicatura catastale di riferimento regionale 2023,farming,https://www.geoportale.piemonte.it/visregpigo/?action-type=dwl&url=https://geoservices.csi.it/ms/wms/agrigeo/rp-01/agrigeowms/wms_griglia_scaricogp?service=WMS&version=1.3&request=getCapabilities&title=Scarico%20-%20Uso%20del%20suolo%20agricolo&layer=scUsoSuoAgri,true,18993,ok
r_piemon,r_piemon:7573bb81-0c2c-46d9-b3f6-609d4e64e34e,Uso del suolo agricolo su mosaicatura catastale di riferimento regionale 2023,farming,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/AGRICOLTURA/UsoSuoloAgri/USO_SUOLO_AGRICOLO_2023-PROV-001-EPSG32632-GPKG.zip,true,122047006,ok
r_piemon,r_piemon:7573bb81-0c2c-46d9-b3f6-609d4e64e34e,Uso del suolo agricolo su mosaicatura catastale di riferimento regionale 2023,farming,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/AGRICOLTURA/UsoSuoloAgri/USO_SUOLO_AGRICOLO_2023-PROV-006-EPSG32632-GPKG.zip,true,81183102,ok
r_piemon,r_piemon:7573bb81-0c2c-46d9-b3f6-609d4e64e34e,Uso del suolo agricolo su mosaicatura catastale di riferimento regionale 2023,farming,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/AGRICOLTURA/UsoSuoloAgri/USO_SUOLO_AGRICOLO_2023-PROV-005-EPSG32632-GPKG.zip,true,49007623,ok
r_piemon,r_piemon:7573bb81-0c2c-46d9-b3f6-609d4e64e34e,Uso del suolo agricolo su mosaicatura catastale di riferimento regionale 2023,farming,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/AGRICOLTURA/UsoSuoloAgri/USO_SUOLO_AGRICOLO_2023-PROV-096-EPSG32632-GPKG.zip,true,14329151,ok
r_piemon,r_piemon:7573bb81-0c2c-46d9-b3f6-609d4e64e34e,Uso del suolo agricolo su mosaicatura catastale di riferimento regionale 2023,farming,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/AGRICOLTURA/UsoSuoloAgri/USO_SUOLO_AGRICOLO_2023-PROV-004-EPSG32632-GPKG.zip,true,143384625,ok
r_piemon,r_piemon:7573bb81-0c2c-46d9-b3f6-609d4e64e34e,Uso del suolo agricolo su mosaicatura catastale di riferimento regionale 2023,farming,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/AGRICOLTURA/UsoSuoloAgri/USO_SUOLO_AGRICOLO_2023-PROV-003-EPSG32632-GPKG.zip,true,22787622,ok
r_piemon,r_piemon:7573bb81-0c2c-46d9-b3f6-609d4e64e34e,Uso del suolo agricolo su mosaicatura catastale di riferimento regionale 2023,farming,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/AGRICOLTURA/UsoSuoloAgri/USO_SUOLO_AGRICOLO_2023-PROV-103-EPSG32632-GPKG.zip,true,14374794,ok
r_piemon,r_piemon:7573bb81-0c2c-46d9-b3f6-609d4e64e34e,Uso del suolo agricolo su mosaicatura catastale di riferimento regionale 2023,farming,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/AGRICOLTURA/UsoSuoloAgri/USO_SUOLO_AGRICOLO_2023-PROV-002-EPSG32632-GPKG.zip,true,29141016,ok
p_bi,p_bi:a115c945-460e-451b-80f0-5add892fba93,Provincia di Biella - BDG Frane attive,geoscientificInformation,https://www.provincia.biella.it/repertorio/consultazione/at8-strumenti-di-pianificazione/igt-s-carta-degli-indirizzi-di-governo-del,false,0,err
c_001272,c_l219:579d6faa-928c-4ce4-b60d-f4290a8d91bf,Voli aerei - Volo aereo 2016,imageryBaseMapsEarthCover,http://geoportale.comune.torino.it/geodati/zip/volo_2016_geo.zip,true,12787164,ok
r_piemon,r_piemon:a81b674a-b700-4f5b-98ba-bb73b7a548a5,Ppr - Praterie rupicole (tav. P4),biota,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/Praterie_rupicole.zip,true,12120282,ok
r_piemon,r_piemon:5009747f-c723-4af2-a2f9-132a985e2f2b,Ppr - Circuiti di interesse fruitivo (tav. P5),planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/circuiti_interesse_fruitivo.zip,true,667414,ok
r_piemon,r_piemon:fc8c9307-5085-4596-915a-591d5a3d615a,Ppr - Belvedere (tav. P4),planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/belvedere_upp.zip,true,10292,ok
p_to,cmto:df15c40c-c3c5-489b-a96a-825c06137404,Dati del Rapporto sullo stato del sistema di gestione dei rifiuti,environment,https://www.cittametropolitana.torino.it/cms/risorse/ambiente/dwd/geoportale/rifiuti/cmto_dati_rapporto_rifiuti.zip,true,134002,ok
r_piemon,r_piemon:74ba1e4d-d2f0-4885-85f9-acb5f144dd31,Ppr - Zone naturali di salvaguardia (tav. P5),planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/zone_naturali_di_salvaguardia.zip,true,94576,ok
r_piemon,r_piemon:d1a6011a-8e04-4642-a44b-f747f0ec0540,Ppr - Paesaggio d'alta quota (tav. P6),planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/alta_quota.zip,true,528504,ok
r_piemon,r_piemon:6d6caeb4-f58f-4c9c-ac1c-5d1366e3ee26,Reticolo idrografico regionale - DB Prior 10K  - Elementi idrici - STORICO,imageryBaseMapsEarthCover,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/DBPR10_ELEMIDRI/DBPrior_elemidri.zip,true,21900501,ok
p_bi,p_bi:2866417a-3548-4c58-bb83-cbeb92aa3416,Provincia di Biella - Limiti amministrativi,imageryBaseMapsEarthCover,https://www.provincia.biella.it/sit-e-cartografia/repertorio/consultazione/at2-elementi-topografici-di-base,false,0,err
r_piemon,r_piemon:884a2d4f-9fbf-4360-ae8c-615fe7db3302,Ppr - Infrastrutture e attrezzature turistiche per la montagna (tav. P4),planningCadastre,https://www.datigeo-piem-download.it/direct/Geoportale/RegionePiemonte/PPR/infrastrutture_turistiche_montagna.zip,true,31384,ok
c_001272,c_l219:a7fdc5f0-a3f9-434d-878e-c6b07e418102,Arte urbana - Toward2030,society,http://geoportale.comune.torino.it/geodati/zip/a_urbana_toward2030_geo.zip,true,12084,ok
c_001272,c_l219:a7fdc5f0-a3f9-434d-878e-c6b07e418102,Arte urbana - Toward2030,society,http://geoportale.comune.torino.it/geodati/zip/a_urbana_toward2030_csv.zip,true,1483,ok
